Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),,,,,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2/6/20,115,2686.624749,7692.982163,36,36,75.1935139,152,49,,,,,1.930482649,26.84510994,0,11361,,,,,39730612,12080714,487974,21240000,2760000,3900000,
2/7/20,103,3776.068588,7539.852619,40,40,84.21017472,134,54,,,,,1.303471381,18.14374924,0,11456,,,,,47365897,11903730,7680000,14160000,,,
2/8/20,24,3756.697428,3372.821176,1,1,75.56660232,115,48,,,,,1.117680951,14.17776966,0.014516129,2477,,,,,51201531,14321308,5400000,14580000,,,
2/9/20,33,2092.174805,1925.363377,2,2,74.49375,111,51,,,,,1.181682138,21.44432831,0.018803418,2909,,,,,49637643,3837907,,27060000,,,
2/10/20,12,2211.452245,1272.972677,,,72.3794143,118,49,,,,,0.578350141,5.625188828,0.026507093,2120,,,,,47035890,7071570,360000,31860000,,,
2/11/20,101,2043.356361,8013.451757,51,51,70.4928952,130,47,,,,,1.336320393,30.20653152,0,10775,,,,,69111651,7173756,,,4140000,1020000,
2/12/20,79,1698.26177,5096.755272,,,73.6602289,128,45,,,,,0.522620659,18.50914001,0,6304,,,,,48214191,7889305,4625488,,21540000,3000000,
2/13/20,129,2258.829514,7822.938804,60,60,61.78298887,113,47,,,,,0.846809708,5.340624332,0.001128032,12573,,,,,53029830,5906305,1838129,,17880000,2280000,
2/14/20,140,2139.576692,11055.19387,68,68,77.84648007,139,48,,,,,1.09850847,32.89370728,0.001904762,14960,,,,,37252888,16119896,780000,27120000,,,
2/15/20,65,2738.875498,3886.036683,,,88.95971564,122,58,,,,,0.828599214,20.94692802,0,5966,,,,,46490501,8408662,2280000,27120000,,,
